brand,batch_no,batch_start,mash_pH,final_runnings_pH,preboil_gravity,knockout_gravity,knockout_pH
bri,496,12/6/23 8:30,5.26,5.33,13.9,14.6,5.13
bri,504,12/22/23 7:03,5.32,5.4,14,14.7,5.19
bri,518,2/9/24 8:08,5.35,5.38,13.9,15.1,5.25
bri,523,2/21/24 8:39,5.2,5.36,13.8,15,5.1
bri,527,3/4/24 5:42,5.34,5.27,,14.6,5.1
bri,537,3/29/24 8:19,5.35,4.99,11.7,12.6,5.06
bri,544,4/15/24 8:16,5.32,5.39,13.5,14.8,5.13
bri,559,5/10/24 7:47,5.34,5.27,13.7,15,5.09
bri,566,5/20/24 7:33,5.31,5.15,13.3,14.9,5.08
bri,571,6/3/24 7:51,5.3,5.26,13.7,14.6,5.06
bri,583,7/3/24 8:22,5.34,5.34,13.9,14.8,5.04
bri,585,7/10/24 5:36,5.3,5.31,14.4,15.2,5.15
bri,588,7/17/24 8:47,5.31,5.27,13.6,14.5,4.99
bri,599,8/14/24 5:37,5.31,5.38,14.7,15.2,5.13
bri,605,8/26/24 9:18,5.26,5.11,14.2,14.8,4.89
bri,616,9/30/24 5:40,5.28,5.28,14.3,14.8,5.06
bri,626,10/25/24 8:25,5.27,5.27,14.1,14.9,4.99
bri,634,11/11/24 8:09,5.43,5.39,12.6,14.3,5.06
bri,643,12/9/24 8:03,5.19,5.4,14.2,15.2,5.18
bri,665,2/7/25 8:26,5.26,5.39,13.4,14.7,5.06
bri,668,2/14/25 8:00,5.3,5.46,13.5,14.7,5.09
bri,673,2/28/25 8:27,5.24,5.38,13.5,14.5,5.09
bri,677,3/7/25 8:15,5.35,5.33,13,14.6,5.12
bri,681,3/14/25 8:04,5.29,5.39,13.7,14.6,5.11
bri,691,4/4/25 9:05,5.25,5.35,14.3,15,5.15
bri,694,4/14/25 7:56,5.26,5.31,13.1,14.3,5.09
hh,33,9/14/20 10:55,5.16,5.41,9,11.5,5.21
hh,56,1/11/21 7:15,5.26,5.45,11.6,12.2,5.3
hh,56,1/12/21 8:18,5.37,5.35,11.2,11.6,5.25
hh,60,1/25/21 7:30,5.29,,,12.4,5.17
hh,71,2/18/21 6:30,5.37,,11.8,11.8,5.21
hh,71,2/18/21 10:20,5.41,5.44,10.2,11.4,5.35
hh,81,3/31/21 6:45,5.4,14,10,12.4,5.37
hh,86,4/10/21 5:55,5.18,5.49,11,11.8,5.32
hh,86,4/10/21 9:20,5.28,5.48,9.2,10.9,5.33
hh,97,5/8/21 5:55,5.22,5.28,11.4,12.2,5.22
hh,104,5/20/21 5:50,5.31,5.42,10,11.6,5.32
hh,104,5/20/21 9:00,5.31,5.44,9.8,11.3,5.25
hh,111,6/15/21 5:50,5.25,5.34,10,11.9,5.24
hh,115,6/28/21 5:30,5.24,5.41,10.2,11.8,5.05
hh,115,6/28/21 8:45,5.32,5.48,9.2,11.6,5.28
hh,121,7/14/21 6:45,5.26,5.44,10.4,12.2,5.18
hh,126,7/26/21 5:30,5.15,5.35,8.8,11.1,5.21
hh,126,7/26/21 8:45,5.3,5.37,9.2,10.6,5.27
hh,133,8/9/21 6:02,5.19,5.24,9.8,11.6,5.09
hh,159,10/25/21 7:04,5.32,5.39,10.4,11.6,5.31
hh,164,11/5/21 5:35,5.34,5.48,11.2,12.3,5.37
hh,164,11/5/21 9:11,5.42,5.54,10.4,11.1,5.35
hh,172,12/1/21 7:24,5.36,5.54,10.2,11.2,5.19
hh,178,12/16/21 5:35,5.4,5.58,,10.6,5.31
hh,178,12/16/21 9:06,5.29,5.5,10.4,11.4,5.34
hh,186,1/10/22 7:47,5.48,5.42,10.9,11.1,5.24
hh,193,1/31/22 5:45,5.37,,11,11.5,5.33
hh,193,1/31/22 9:22,5.35,5.45,10.1,11.2,5.34
hh,199,2/16/22 5:31,5.34,,11,11.5,5.31
hh,208,3/11/22 7:25,5.29,5.52,10.2,11.3,5.36
hh,214,3/23/22 5:26,5.17,5.54,10.2,11.4,5.35
hh,214,3/23/22 8:56,5.34,5.54,10.4,11.6,5.34
hh,221,4/11/22 5:25,5.22,5.45,,11.7,5.33
hh,221,4/11/22 8:43,5.28,5.51,,11.9,5.33
hh,227,4/22/22 5:29,,5.47,10,11.8,5.21
hh,227,4/22/22 8:45,5.25,5.48,10.8,12.3,5.3
hh,253,6/13/22 5:40,5.25,5.38,,11.9,5.17
hh,261,6/30/22 5:25,5.24,5.54,9.4,11.4,5.34
hh,261,6/30/22 8:35,5.25,5.58,9.4,11.6,5.31
hh,270,7/25/22 5:30,5.19,5.41,11.4,12.1,5.18
hh,270,7/25/22 9:07,5.18,5.38,10.2,11.6,5.11
hh,286,8/29/22 5:38,5.23,5.32,11.1,11.8,5.28
hh,305,10/24/22 6:55,5.16,5.42,10.3,10.9,5.27
hh,310,11/7/22 5:32,5.14,5.41,10.2,10.9,5.22
hh,310,11/7/22 9:19,5.22,5.42,10.2,10.7,5.18
hh,317,11/21/22 5:35,5.27,5.29,10.2,11.4,5.16
hh,317,11/21/22 9:09,5.26,5.29,10.7,11.6,5.21
hh,336,1/25/23 5:23,5.27,5.38,,11.5,5.26
hh,343,2/6/23 5:29,5.3,5.51,9.8,11.2,5.31
hh,343,2/6/23 9:16,5.25,5.38,10.3,11.8,5.29
hh,354,3/1/23 5:34,5.12,5.17,10.3,11.4,5.05
hh,354,3/1/23 9:17,5.09,5.24,9.9,11.8,5.04
hh,361,3/13/23 5:35,5.29,5.4,10.8,11.6,5.14
hh,368,3/22/23 7:55,5.19,5.45,9.8,11.2,5.15
hh,375,4/3/23 5:33,5.22,5.22,10.4,11.1,5.17
hh,375,4/3/23 9:17,5.24,5.5,,11.4,5.17
hh,403,6/2/23 7:30,5.15,5.29,9.9,11.4,5.18
hh,411,6/14/23 9:45,5.23,5.48,10.7,11.7,5.17
hh,428,7/21/23 7:38,,5.47,9.3,11.7,5.25
hh,435,7/31/23 5:30,5.07,5.29,9.7,10.9,5.16
hh,435,7/31/23 9:19,5.24,5.13,10.3,11.3,5.2
hh,464,9/18/23 9:45,5.27,5.35,10.9,11.8,5.27
hh,469,10/2/23 7:18,5.14,5.23,10.5,11.3,5.06
hh,473,10/11/23 9:35,,5.39,10.2,11,5.12
hh,475,10/18/23 8:29,5.27,5.27,11.1,11.7,5.2
